USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24005490200	2240823	0	0.865	0.	39.4182353	-76.6105837                                                                                                                                                
MD	24005490302	2671783	0	1.032	0.	39.4070358	-76.5868155                                                                                                                                                
MD	24005490303	1201180	0	0.464	0.	39.410704	-76.6182784                                                                                                                                                 
MD	24005490304	821770	0	0.317	0.	39.4087199	-76.6051852                                                                                                                                                 
MD	24005490400	5799183	247270	2.239	0.095	39.3974859	-76.6532267                                                                                                                                        
MD	24005490500	6569594	98138	2.537	0.038	39.3915989	-76.6364254                                                                                                                                         
MD	24005490601	552672	0	0.213	0.	39.3751195	-76.6142272                                                                                                                                                 
MD	24005490602	786168	0	0.304	0.	39.3813161	-76.61318                                                                                                                                                   
MD	24005490603	1068259	0	0.412	0.	39.3755535	-76.6234168                                                                                                                                                
MD	24005490605	2186773	1315	0.844	0.001	39.3912441	-76.6191961                                                                                                                                          
MD	24005490701	1306991	3036	0.505	0.001	39.4063886	-76.6260724                                                                                                                                          
MD	24005490703	1532805	0	0.592	0.	39.4004252	-76.6130572                                                                                                                                                
MD	24005490800	1455994	0	0.562	0.	39.3896673	-76.5982588                                                                                                                                                
MD	24005490900	1516013	0	0.585	0.	39.398699	-76.5943925                                                                                                                                                 
MD	24005491000	1242101	0	0.48	0.	39.3799958	-76.5979781                                                                                                                                                 
MD	24005491100	1098876	0	0.424	0.	39.3743754	-76.5985935                                                                                                                                                
MD	24005491201	1697854	0	0.656	0.	39.3969995	-76.5745522                                                                                                                                                
MD	24005491202	762748	0	0.294	0.	39.3902908	-76.5756967                                                                                                                                                 
MD	24005491300	1913685	0	0.739	0.	39.3834398	-76.5853967                                                                                                                                                
MD	24005491401	1204565	0	0.465	0.	39.3774964	-76.5745584                                                                                                                                                
MD	24005491402	889527	0	0.343	0.	39.3784901	-76.5637188                                                                                                                                                 
MD	24005491500	1128581	0	0.436	0.	39.3862259	-76.5659298                                                                                                                                                
MD	24005491600	875053	0	0.338	0.	39.3964395	-76.5600499                                                                                                                                                 
MD	24005491701	2988062	0	1.154	0.	39.4053469	-76.5453972                                                                                                                                                
MD	24005491900	1444644	0	0.558	0.	39.3949827	-76.5370708                                                                                                                                                
MD	24005492001	994531	0	0.384	0.	39.3909508	-76.5544496                                                                                                                                                 
MD	24005492002	1563411	0	0.604	0.	39.3855342	-76.5486106                                                                                                                                                
MD	24005492101	1432402	0	0.553	0.	39.3844519	-76.539578                                                                                                                                                 
MD	24005492102	944335	0	0.365	0.	39.3745753	-76.5543589                                                                                                                                                 
MD	24005492200	2899931	0	1.12	0.	39.4088364	-76.521342                                                                                                                                                  
MD	24005492300	1213467	16046	0.469	0.006	39.3266182	-76.4527645                                                                                                                                         
MD	24005492401	1600179	9405	0.618	0.004	39.3891702	-76.8180502                                                                                                                                          
MD	24005492402	3172828	9333	1.225	0.004	39.4002515	-76.8116861                                                                                                                                          
MD	24005492500	2638986	5681	1.019	0.002	39.2571862	-76.711824                                                                                                                                           
MD	24005492600	4184345	0	1.616	0.	39.4110303	-76.5318285                                                                                                                                                
MD	24005492700	14370614	19543817	5.549	7.546	39.2174267	-76.4879121                                                                                                                                     
MD	24005980100	1533531	214250	0.592	0.083	39.2359304	-76.6282385                                                                                                                                        
MD	24005980200	2100509	248474	0.811	0.096	39.2276652	-76.6816917                                                                                                                                        
MD	24009860103	36554901	2138563	14.114	0.826	38.7374016	-76.6702766                                                                                                                                     
MD	24009860200	46452682	1604885	17.935	0.62	38.6758822	-76.6579871                                                                                                                                      
MD	24009860300	38448331	603095	14.845	0.233	38.6629535	-76.5793751                                                                                                                                      
MD	24009860402	10639856	3333429	4.108	1.287	38.6689117	-76.5420675                                                                                                                                      
MD	24009860403	7583060	69362	2.928	0.027	38.6894562	-76.5544036                                                                                                                                         
MD	24009860404	9943132	1738683	3.839	0.671	38.7080371	-76.5615839                                                                                                                                       
MD	24009860501	38985373	108084	15.052	0.042	38.6032383	-76.5619789                                                                                                                                      
MD	24009860502	19645732	5504754	7.585	2.125	38.579279	-76.5203131                                                                                                                                       
MD	24009860600	54747415	4638019	21.138	1.791	38.6160327	-76.6355421                                                                                                                                     
MD	24009860701	32466765	5477678	12.535	2.115	38.5439619	-76.6309766                                                                                                                                     
MD	24009860702	24427034	81688	9.431	0.032	38.5706394	-76.5778835                                                                                                                                        
MD	24009860703	39012129	12791722	15.063	4.939	38.4831446	-76.6074909                                                                                                                                    
MD	24009860801	79231077	21662840	30.591	8.364	38.4464607	-76.53816                                                                                                                                      
MD	24009860901	20395131	8856903	7.875	3.42	38.3502934	-76.4536627                                                                                                                                       
MD	24009860902	19807608	5812537	7.648	2.244	38.4015851	-76.4705743                                                                                                                                      
MD	24009861003	11101835	5947765	4.286	2.296	38.3394149	-76.427426                                                                                                                                       
MD	24009861004	7273271	2739198	2.808	1.058	38.3586351	-76.4076066                                                                                                                                       
MD	24009861100	55443210	10084043	21.407	3.893	38.4588399	-76.4736433                                                                                                                                    
MD	24009990100	0	248387420	0.	95.903	38.5209293	-76.4434693                                                                                                                                             
MD	24011955000	92966359	244187	35.895	0.094	39.0870411	-75.8066003                                                                                                                                      
MD	24011955100	131470962	587733	50.761	0.227	38.984729	-75.8033534                                                                                                                                      
MD	24011955201	71065731	439771	27.439	0.17	38.9594362	-75.8780242                                                                                                                                       
MD	24011955202	95569712	2926023	36.9	1.13	38.8886841	-75.9036435                                                                                                                                        
MD	24011955301	109651833	2236602	42.337	0.864	38.8624326	-75.7768105                                                                                                                                    
MD	24011955302	6867935	923620	2.652	0.357	38.8740492	-75.8294365                                                                                                                                        
MD	24011955400	116542250	1916294	44.997	0.74	38.7828091	-75.830561                                                                                                                                      
MD	24011955500	114534748	7073597	44.222	2.731	38.7407072	-75.9326722                                                                                                                                    
MD	24011955600	88680724	429239	34.24	0.166	38.7068793	-75.7661753                                                                                                                                       
MD	24013501001	20719381	40596	8.	0.016	39.6754541	-77.136443                                                                                                                                            
MD	24013501002	79939977	287375	30.865	0.111	39.6706736	-77.189009                                                                                                                                       
MD	24013502000	84281655	303527	32.541	0.117	39.6123747	-77.105007                                                                                                                                       
MD	24013503000	102288745	327679	39.494	0.127	39.6804334	-77.0358316                                                                                                                                     
MD	24013504100	37227967	318322	14.374	0.123	39.5322347	-76.8964892                                                                                                                                      
MD	24013504201	36821690	1387774	14.217	0.536	39.5041048	-76.9081305                                                                                                                                     
MD	24013504202	44563966	599271	17.206	0.231	39.4793778	-76.9523688                                                                                                                                      
MD	24013505101	9017697	404176	3.482	0.156	39.4278876	-76.9469027                                                                                                                                        
MD	24013505102	20843380	3980561	8.048	1.537	39.414976	-76.8994209                                                                                                                                       
MD	24013505203	7052524	14506	2.723	0.006	39.3851259	-76.9492567                                                                                                                                         
MD	24013505205	2614246	4516	1.009	0.002	39.3844793	-76.9327976                                                                                                                                          
MD	24013505206	21011644	2452660	8.113	0.947	39.3736054	-76.9187527                                                                                                                                      
MD	24013505207	4102168	164240	1.584	0.063	39.3937299	-76.9673047                                                                                                                                        
MD	24013505208	5559432	94304	2.147	0.036	39.3747693	-76.9768098                                                                                                                                         
MD	24013506101	46048621	54288	17.779	0.021	39.6850998	-76.935193                                                                                                                                        
MD	24013506102	27768781	13704	10.722	0.005	39.6271134	-76.9220029                                                                                                                                       
MD	24013506200	61517780	130409	23.752	0.05	39.6921647	-76.8476447                                                                                                                                       
MD	24013507500	25564729	101311	9.871	0.039	39.6202712	-77.0304991                                                                                                                                       
MD	24013507601	24411397	181860	9.425	0.07	39.612989	-76.9799846                                                                                                                                         
MD	24013507602	14802422	11432	5.715	0.004	39.5745368	-76.9658086                                                                                                                                        
MD	24013507702	13804446	64725	5.33	0.025	39.551559	-77.0263816                                                                                                                                          
MD	24013507703	7507813	18298	2.899	0.007	39.5710577	-77.0352208                                                                                                                                         
MD	24013507704	5899212	12851	2.278	0.005	39.5871296	-77.0312098                                                                                                                                         
MD	24013507801	6274293	22734	2.423	0.009	39.5555909	-77.0019547                                                                                                                                         
MD	24013507802	21493542	25167	8.299	0.01	39.5290769	-77.0032521                                                                                                                                         
MD	24013508103	23382166	55578	9.028	0.021	39.6340147	-76.8340409                                                                                                                                        
MD	24013508200	57044939	252179	22.025	0.097	39.5844102	-76.8784029                                                                                                                                      
MD	24013509001	43803340	54370	16.913	0.021	39.47039	-77.0648802                                                                                                                                         
MD	24013509002	25513684	29206	9.851	0.011	39.4388686	-77.0948506                                                                                                                                        
MD	24013510000	56579558	150286	21.845	0.058	39.6289823	-77.2397116                                                                                                                                      
MD	24013511000	62927095	250389	24.296	0.097	39.5362529	-77.0856235                                                                                                                                      
MD	24013512000	18638011	51750	7.196	0.02	39.5720218	-77.1715007                                                                                                                                         
MD	24013513001	10899714	45618	4.208	0.018	39.399685	-77.140079                                                                                                                                          
MD	24013513002	30986929	94388	11.964	0.036	39.3845572	-77.1149795                                                                                                                                       
MD	24013514100	31715219	58767	12.245	0.023	39.4453298	-76.9943458                                                                                                                                       
MD	24013514201	46650315	139511	18.012	0.054	39.3984893	-77.0495832                                                                                                                                      
MD	24013514202	20077380	914136	7.752	0.353	39.3901546	-76.9921556                                                                                                                                       
MD	24015030100	176343863	49684026	68.087	19.183	39.421865	-75.9026232                                                                                                                                   
MD	24015030200	109910019	17907997	42.436	6.914	39.5039356	-75.8216075                                                                                                                                   
MD	24015030400	4845394	63878	1.871	0.025	39.6081745	-75.8372909                                                                                                                                         
MD	24015030501	29247909	234188	11.293	0.09	39.6585504	-75.8806095                                                                                                                                       
MD	24015030503	41977544	1825403	16.208	0.705	39.6210604	-75.8565829                                                                                                                                     
MD	24015030505	17661089	1517920	6.819	0.586	39.5912101	-75.8114823                                                                                                                                      
MD	24015030507	6150282	0	2.375	0.	39.6238432	-75.8001492                                                                                                                                                
MD	24015030508	4573367	61897	1.766	0.024	39.610429	-75.8076095                                                                                                                                          
MD	24015030601	52360589	328472	20.217	0.127	39.6972837	-75.8760343                                                                                                                                      
MD	24015030602	17740193	90197	6.85	0.035	39.6921633	-75.8050262                                                                                                                                         
MD	24015030700	61087621	307721	23.586	0.119	39.6847436	-75.9770277                                                                                                                                      
MD	24015030903	28329397	79679	10.938	0.031	39.5953446	-75.9005683                                                                                                                                       
MD	24015030904	69795867	68320885	26.948	26.379	39.5117314	-75.9618791                                                                                                                                   
MD	24015030905	32553396	374692	12.569	0.145	39.6334469	-75.9990085                                                                                                                                      
MD	24015030907	21926098	23262940	8.466	8.982	39.5551453	-76.0071096                                                                                                                                     
MD	24015030908	31665348	87407	12.226	0.034	39.6112111	-75.9672915                                                                                                                                       
MD	24015031201	47839051	6223001	18.471	2.403	39.6206763	-76.1069006                                                                                                                                     
MD	24015031202	22791130	7708817	8.8	2.976	39.5699941	-76.0569606                                                                                                                                        
MD	24015031301	32967138	158882	12.729	0.061	39.6612743	-76.0700549                                                                                                                                      
MD	24015031302	45572526	318351	17.596	0.123	39.6973752	-76.0790146                                                                                                                                      
MD	24015031400	41574707	6724905	16.052	2.597	39.6933286	-76.1659565                                                                                                                                     
MD	24017850101	25172477	3717652	9.719	1.435	38.6619481	-77.0984582                                                                                                                                      
MD	24017850102	44701501	1435499	17.259	0.554	38.5951955	-77.093736                                                                                                                                      
MD	24017850201	16064350	10870381	6.202	4.197	38.5657919	-77.201418                                                                                                                                      
MD	24017850202	5762006	1762263	2.225	0.68	38.6004992	-77.1451872                                                                                                                                        
MD	24017850300	34111872	3466175	13.171	1.338	38.5530041	-77.1569782                                                                                                                                     
MD	24017850400	176976094	26002947	68.331	10.04	38.4504408	-77.2060697                                                                                                                                   
MD	24017850500	98191723	15974388	37.912	6.168	38.4724635	-77.0902045                                                                                                                                    
MD	24017850600	60285430	17307	23.276	0.007	38.5266341	-77.0933062                                                                                                                                       
MD	24017850706	6987464	0	2.698	0.	38.6412926	-76.9455906                                                                                                                                                
MD	24017850708	6043322	55120	2.333	0.021	38.6477177	-76.9353838                                                                                                                                         
MD	24017850709	5301400	1042	2.047	0.	38.644537	-76.9006667                                                                                                                                              
MD	24017850710	3623822	48460	1.399	0.019	38.6268451	-76.9571932                                                                                                                                         
MD	24017850711	2985838	34092	1.153	0.013	38.6269699	-76.9384389                                                                                                                                         
MD	24017850712	28318418	0	10.934	0.	38.5984332	-77.0367885                                                                                                                                              
MD	24017850713	25973666	13276	10.028	0.005	38.6280827	-76.9892567                                                                                                                                       
MD	24017850801	4238845	1492	1.637	0.001	38.6500734	-76.8593942                                                                                                                                          
MD	24017850802	38967530	231698	15.045	0.089	38.6195583	-76.8560416                                                                                                                                      
MD	24017850901	5457410	32236	2.107	0.012	38.6119042	-76.9093737                                                                                                                                         
MD	24017850902	5724076	0	2.21	0.	38.5956661	-76.9254057                                                                                                                                                 
MD	24017850904	41245167	730491	15.925	0.282	38.5547766	-76.8970548                                                                                                                                      
MD	24017850905	2230231	25131	0.861	0.01	38.6020694	-76.885086                                                                                                                                           
MD	24017850906	2213092	12355	0.854	0.005	38.5985749	-76.8969636                                                                                                                                         
MD	24017851001	17112095	22848	6.607	0.009	38.5327926	-76.9997715                                                                                                                                        
MD	24017851003	19945380	10370	7.701	0.004	38.5160231	-76.9506454                                                                                                                                        
MD	24017851004	22661364	215213	8.75	0.083	38.5540556	-76.9605345                                                                                                                                        
MD	24017851100	71646689	7178664	27.663	2.772	38.4594916	-76.9740673                                                                                                                                     
MD	24017851200	107406892	37116178	41.47	14.331	38.3348487	-76.909535                                                                                                                                    
MD	24017851301	111293642	3947883	42.971	1.524	38.4480974	-76.8729416                                                                                                                                    
MD	24017851302	71525812	498341	27.616	0.192	38.5203189	-76.8591522                                                                                                                                      
MD	24017851401	29321569	3417	11.321	0.001	38.579955	-76.7707538                                                                                                                                         
MD	24017851402	43857125	4505325	16.933	1.74	38.531775	-76.7237164                                                                                                                                       
MD	24017851403	37463473	48202	14.465	0.019	38.5955599	-76.808432                                                                                                                                        
MD	24017851501	3945788	123528	1.523	0.048	38.6117566	-76.9375292                                                                                                                                        
MD	24017851502	9002275	3068	3.476	0.001	38.6012971	-76.9687207                                                                                                                                          
MD	24017990000	0	361333788	0.	139.512	38.3759374	-77.0841852                                                                                                                                            
MD	24019970100	240966577	8562069	93.038	3.306	38.5600597	-75.7977605                                                                                                                                    
MD	24019970200	120488910	5093502	46.521	1.967	38.6455822	-75.8698959                                                                                                                                    
MD	24019970300	122401899	11797065	47.26	4.555	38.5679194	-75.9440334                                                                                                                                    
MD	24019970400	4720205	6154656	1.822	2.376	38.5704697	-76.0650829                                                                                                                                       
MD	24019970500	2984021	0	1.152	0.	38.5718366	-76.0923067                                                                                                                                                
MD	24019970600	21684136	19325	8.372	0.007	38.5577702	-76.0969661                                                                                                                                        
MD	24019970702	111716898	67802011	43.134	26.179	38.5767742	-76.1841561                                                                                                                                  
MD	24019970804	227436848	102830765	87.814	39.703	38.4426483	-76.216291                                                                                                                                  
MD	24019970900	548174252	343599882	211.651	132.665	38.3445398	-76.0240614                                                                                                                               
MD	24019990000	0	599493793	0.	231.466	38.360807	-76.2552155                                                                                                                                             
MD	24021740200	16732688	11730	6.461	0.005	39.4923785	-77.3629588                                                                                                                                        
MD	24021750100	353829	0	0.137	0.	39.4209637	-77.4094197                                                                                                                                                 
MD	24021750200	623428	0	0.241	0.	39.4157363	-77.4090222                                                                                                                                                 
MD	24021750300	390262	0	0.151	0.	39.4109494	-77.4158102                                                                                                                                                 
MD	24021750504	2498044	465	0.965	0.	39.4246793	-77.4394695                                                                                                                                              
MD	24021750505	1972121	0	0.761	0.	39.4109536	-77.4433531                                                                                                                                                
MD	24021750506	4681288	3026	1.807	0.001	39.4140488	-77.4637271                                                                                                                                          
MD	24021750507	1252841	0	0.484	0.	39.4266123	-77.4664381                                                                                                                                                
MD	24021750508	1186821	5494	0.458	0.002	39.424136	-77.453806                                                                                                                                            
MD	24021750600	2125367	0	0.821	0.	39.4194962	-77.4228616                                                                                                                                                
MD	24021750701	3432110	0	1.325	0.	39.4551284	-77.4078207                                                                                                                                                
MD	24021750702	1450366	0	0.56	0.	39.4326934	-77.4203868                                                                                                                                                 
MD	24021750801	2138851	0	0.826	0.	39.4324126	-77.4071631                                                                                                                                                
MD	24021750802	3923218	143778	1.515	0.056	39.455722	-77.3880023                                                                                                                                         
MD	24021750804	1886708	0	0.728	0.	39.4257211	-77.3950189                                                                                                                                                
MD	24021750805	3306693	301802	1.277	0.117	39.446551	-77.3726272                                                                                                                                         
MD	24021751001	990845	0	0.383	0.	39.3798137	-77.4408029                                                                                                                                                 
MD	24021751002	2408441	0	0.93	0.	39.3835628	-77.4300066                                                                                                                                                 
MD	24021751003	14156380	33282	5.466	0.013	39.3871801	-77.396194                                                                                                                                         
MD	24021751004	13972646	8734	5.395	0.003	39.3961113	-77.4700084                                                                                                                                         
MD	24021751201	8139071	0	3.143	0.	39.4521276	-77.4266399                                                                                                                                                
MD	24021751202	4189311	16605	1.618	0.006	39.4525529	-77.4463886                                                                                                                                         
MD	24021751203	15381665	7269	5.939	0.003	39.4461141	-77.4725942                                                                                                                                         
MD	24021751301	46013965	282383	17.766	0.109	39.5006996	-77.4670894                                                                                                                                      
MD	24021751302	87348234	1150702	33.725	0.444	39.5407408	-77.4364911                                                                                                                                     
MD	24021751600	89793800	91312	34.67	0.035	39.5383021	-77.2206287                                                                                                                                        
MD	24021751701	38514934	17663	14.871	0.007	39.457718	-77.3239141                                                                                                                                        
MD	24021751702	81355670	91271	31.412	0.035	39.4723055	-77.2091951                                                                                                                                       
MD	24021751801	27128097	42428	10.474	0.016	39.4104487	-77.2648269                                                                                                                                       
MD	24021751802	65261083	101702	25.197	0.039	39.4201331	-77.1883485                                                                                                                                      
MD	24021751902	7577235	188518	2.926	0.073	39.4050409	-77.3398797                                                                                                                                        
MD	24021751903	31727671	62926	12.25	0.024	39.3607925	-77.2391448                                                                                                                                        
MD	24021751904	22457127	259183	8.671	0.1	39.3781197	-77.3459482                                                                                                                                         
MD	24021751905	5754737	245489	2.222	0.095	39.4073122	-77.3038764                                                                                                                                        
MD	24021751906	3676884	2649	1.42	0.001	39.4012357	-77.2967749                                                                                                                                           
MD	24021752001	13402121	14729	5.175	0.006	39.3816577	-77.1772797                                                                                                                                        
MD	24021752101	10755606	9263	4.153	0.004	39.3101667	-77.2805758                                                                                                                                         
MD	24021752102	42855849	30898	16.547	0.012	39.33305	-77.2867811                                                                                                                                         
MD	24021752201	75562914	1550404	29.175	0.599	39.2908367	-77.3971148                                                                                                                                     
MD	24021752202	1525618	0	0.589	0.	39.3365151	-77.3425194                                                                                                                                                
MD	24021752205	10053185	27229	3.882	0.011	39.3436882	-77.3349063                                                                                                                                        
MD	24021752206	16948648	36239	6.544	0.014	39.3370294	-77.3635685                                                                                                                                        
MD	24021752301	4767083	0	1.841	0.	39.3659437	-77.4308471                                                                                                                                                
MD	24021752302	67312166	1204359	25.989	0.465	39.3037786	-77.4542163                                                                                                                                     
MD	24021752303	42564965	2159505	16.434	0.834	39.3099211	-77.4977232                                                                                                                                     
MD	24021752501	79374034	426739	30.646	0.165	39.3995827	-77.586872                                                                                                                                       
MD	24021752502	45040786	1513347	17.39	0.584	39.3247563	-77.5454082                                                                                                                                      
MD	24021752601	11446878	42980	4.42	0.017	39.4567413	-77.5181143                                                                                                                                         
MD	24021752602	23699346	107829	9.15	0.042	39.4106761	-77.5184053                                                                                                                                        
MD	24021752603	8988091	39964	3.47	0.015	39.4427461	-77.5105935                                                                                                                                          
MD	24021752801	55213501	135895	21.318	0.052	39.581793	-77.5145169                                                                                                                                       
MD	24021752802	57342711	56696	22.14	0.022	39.5384807	-77.5802262                                                                                                                                        
MD	24021752900	124352846	353462	48.013	0.136	39.642645	-77.4409586                                                                                                                                      
MD	24021753001	15579812	48542	6.015	0.019	39.6040079	-77.4043582                                                                                                                                        
MD	24021753002	10316714	82341	3.983	0.032	39.6336537	-77.3861778                                                                                                                                        
