route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
99999,301,1,Centers for Medicare and Medicaid Services,0,RED
99999,301,2,Centers for Medicare and Medicaid Services,0,RED
99999,301,3,Centers for Medicare and Medicaid Services,0,RED
99999,301,4,Centers for Medicare and Medicaid Services,0,RED
99999,301,5,Centers for Medicare and Medicaid Services,0,RED
99999,301,6,Centers for Medicare and Medicaid Services,0,RED
99999,301,7,Centers for Medicare and Medicaid Services,0,RED
99999,301,8,Centers for Medicare and Medicaid Services,0,RED
99999,301,9,Centers for Medicare and Medicaid Services,0,RED
99999,301,10,Centers for Medicare and Medicaid Services,0,RED
99999,301,11,Centers for Medicare and Medicaid Services,0,RED
99999,301,12,Centers for Medicare and Medicaid Services,0,RED
99999,301,13,Centers for Medicare and Medicaid Services,0,RED
99999,301,14,Centers for Medicare and Medicaid Services,0,RED
99999,301,15,Centers for Medicare and Medicaid Services,0,RED
99999,301,16,Centers for Medicare and Medicaid Services,0,RED
99999,301,17,Centers for Medicare and Medicaid Services,0,RED
99999,301,18,Centers for Medicare and Medicaid Services,0,RED
99999,301,19,Centers for Medicare and Medicaid Services,0,RED
99999,301,20,Centers for Medicare and Medicaid Services,0,RED
99999,301,21,Centers for Medicare and Medicaid Services,0,RED
99999,301,22,Centers for Medicare and Medicaid Services,0,RED
99999,301,23,Centers for Medicare and Medicaid Services,0,RED
99999,301,24,Centers for Medicare and Medicaid Services,0,RED
99999,301,25,Centers for Medicare and Medicaid Services,0,RED
99999,301,26,Centers for Medicare and Medicaid Services,0,RED
99999,301,27,Centers for Medicare and Medicaid Services,0,RED
99999,301,28,Centers for Medicare and Medicaid Services,0,RED
99999,301,29,Centers for Medicare and Medicaid Services,0,RED
99999,301,30,Centers for Medicare and Medicaid Services,0,RED
99999,301,31,Centers for Medicare and Medicaid Services,0,RED
99999,301,32,Centers for Medicare and Medicaid Services,0,RED
99999,301,33,Centers for Medicare and Medicaid Services,0,RED
99999,301,34,Centers for Medicare and Medicaid Services,0,RED
99999,301,35,Centers for Medicare and Medicaid Services,0,RED
99999,301,36,Centers for Medicare and Medicaid Services,0,RED
99999,301,37,Centers for Medicare and Medicaid Services,0,RED
99999,301,38,Centers for Medicare and Medicaid Services,0,RED
99999,301,39,Centers for Medicare and Medicaid Services,0,RED
99999,301,40,Centers for Medicare and Medicaid Services,0,RED
99999,301,41,Centers for Medicare and Medicaid Services,0,RED
99999,301,42,Centers for Medicare and Medicaid Services,0,RED
99999,301,43,Centers for Medicare and Medicaid Services,0,RED
99999,301,44,Centers for Medicare and Medicaid Services,0,RED
99999,301,45,Centers for Medicare and Medicaid Services,0,RED
99999,301,46,Centers for Medicare and Medicaid Services,0,RED
99999,301,47,Centers for Medicare and Medicaid Services,0,RED
99999,301,48,Centers for Medicare and Medicaid Services,0,RED
99999,301,49,Centers for Medicare and Medicaid Services,0,RED
99999,301,50,Centers for Medicare and Medicaid Services,0,RED
99999,301,51,Centers for Medicare and Medicaid Services,0,RED
99999,301,52,Centers for Medicare and Medicaid Services,0,RED
99999,301,53,Centers for Medicare and Medicaid Services,0,RED
99999,301,54,Centers for Medicare and Medicaid Services,0,RED
99999,301,55,Centers for Medicare and Medicaid Services,0,RED
99999,301,56,Centers for Medicare and Medicaid Services,0,RED
